Run,Agent,Iteration,Underbid Regret
1,"Oracle, DM (search) 2",4,31.99416270464795
1,"Oracle, DM (search) 2",5,33.70019202158822
1,"Oracle, DM (search) 2",6,33.7146742948359
1,"Oracle, DM (search) 2",7,28.08183525313109
1,"Oracle, DM (search) 2",8,38.87464979237303
1,"Oracle, DM (search) 2",9,28.513447942069682
1,"Oracle, DM (search) 2",10,37.228750200261814
1,"Oracle, DM (search) 2",11,29.12766738271098
1,"Oracle, DM (search) 2",12,34.86940674371875
1,"Oracle, DM (search) 2",13,29.509626613539126
1,"Oracle, DM (search) 2",14,38.65367938747127
1,"Oracle, DM (search) 2",15,27.165806028451982
1,"Oracle, DM (search) 2",16,38.23448994948691
1,"Oracle, DM (search) 2",17,25.750418981523513
1,"Oracle, DM (search) 2",18,35.0557687132908
1,"Oracle, DM (search) 2",19,32.49860648408515
1,"Oracle, DM (search) 3",0,0.08361786877773834
1,"Oracle, DM (search) 3",1,45.37954363674139
1,"Oracle, DM (search) 3",2,45.758394669993876
1,"Oracle, DM (search) 3",3,40.527006195804184
1,"Oracle, DM (search) 3",4,40.23478547251532
1,"Oracle, DM (search) 3",5,33.4164247771681
1,"Oracle, DM (search) 3",6,37.853563761661874
1,"Oracle, DM (search) 3",7,32.21185183323158
1,"Oracle, DM (search) 3",8,35.916313020143434
1,"Oracle, DM (search) 3",9,29.271004705127364
1,"Oracle, DM (search) 3",10,37.9612254621958
1,"Oracle, DM (search) 3",11,33.69581706870727
1,"Oracle, DM (search) 3",12,35.8180162238816
1,"Oracle, DM (search) 3",13,32.02796510186445
1,"Oracle, DM (search) 3",14,32.098512950951445
1,"Oracle, DM (search) 3",15,33.616088168968325
1,"Oracle, DM (search) 3",16,28.013644002608153
1,"Oracle, DM (search) 3",17,34.35949786801835
1,"Oracle, DM (search) 3",18,29.41623385439612
1,"Oracle, DM (search) 3",19,35.9166888681038
1,"Oracle, DM (search) 4",0,0.06685487416021157
1,"Oracle, DM (search) 4",1,24.668041205222046
1,"Oracle, DM (search) 4",2,40.45232995468391
1,"Oracle, DM (search) 4",3,39.86142856627597
1,"Oracle, DM (search) 4",4,33.312870226585034
1,"Oracle, DM (search) 4",5,38.036192134041144
1,"Oracle, DM (search) 4",6,29.430045604699494
1,"Oracle, DM (search) 4",7,41.240813894187504
1,"Oracle, DM (search) 4",8,29.54960395820953
1,"Oracle, DM (search) 4",9,40.78041948595713
1,"Oracle, DM (search) 4",10,28.969719055529815
1,"Oracle, DM (search) 4",11,35.682127942080164
