Run,Agent,Iteration,Gross Utility
0,Truthful Learnt 3,1,472.6567366325495
0,Truthful Learnt 3,2,497.81216386020805
0,Truthful Learnt 3,3,603.8401078089419
0,Truthful Learnt 3,4,616.5155656442765
0,Truthful Learnt 3,5,576.7299814443396
0,Truthful Learnt 3,6,551.529533061908
0,Truthful Learnt 3,7,584.8999023648042
0,Truthful Learnt 3,8,556.0627792517682
0,Truthful Learnt 3,9,536.4665668454096
0,Truthful Learnt 3,10,591.5037079132944
0,Truthful Learnt 3,11,609.5460695747018
0,Truthful Learnt 3,12,510.466683923571
0,Truthful Learnt 3,13,544.2407927254462
0,Truthful Learnt 3,14,553.538704699625
0,Truthful Learnt 3,15,542.4796404518972
0,Truthful Learnt 3,16,547.9078549444016
0,Truthful Learnt 3,17,583.9273784916815
0,Truthful Learnt 3,18,539.8898956067387
0,Truthful Learnt 3,19,621.9965835552687
1,Truthful Learnt 3,0,64.06546803746515
1,Truthful Learnt 3,1,324.8436386775022
1,Truthful Learnt 3,2,552.2113622559806
1,Truthful Learnt 3,3,612.3227367629802
1,Truthful Learnt 3,4,590.6342431358516
1,Truthful Learnt 3,5,651.7187210303541
1,Truthful Learnt 3,6,652.3807477638214
1,Truthful Learnt 3,7,664.0646083888461
1,Truthful Learnt 3,8,676.9725964764914
1,Truthful Learnt 3,9,643.5488023409906
1,Truthful Learnt 3,10,639.1976955535011
1,Truthful Learnt 3,11,649.0541396546349
1,Truthful Learnt 3,12,649.654294080615
1,Truthful Learnt 3,13,699.9293661496496
1,Truthful Learnt 3,14,654.0403928494727
1,Truthful Learnt 3,15,585.1272787252374
1,Truthful Learnt 3,16,663.2765781418406
1,Truthful Learnt 3,17,671.3252664172375
1,Truthful Learnt 3,18,621.4094017968725
1,Truthful Learnt 3,19,616.8519437963212
2,Truthful Learnt 3,0,102.5473127787217
2,Truthful Learnt 3,1,349.85129434922726
2,Truthful Learnt 3,2,625.161321033491
2,Truthful Learnt 3,3,676.8840922514253
2,Truthful Learnt 3,4,722.6874069360929
2,Truthful Learnt 3,5,699.7866847248531
2,Truthful Learnt 3,6,718.8558655770325
2,Truthful Learnt 3,7,704.2308426479402
2,Truthful Learnt 3,8,724.2026165411801
2,Truthful Learnt 3,9,768.3930233072504
2,Truthful Learnt 3,10,755.8042415734741
2,Truthful Learnt 3,11,783.019293149594
2,Truthful Learnt 3,12,763.3594990030768
2,Truthful Learnt 3,13,719.9770179751217
2,Truthful Learnt 3,14,757.9551576655174
2,Truthful Learnt 3,15,744.0654175842258
2,Truthful Learnt 3,16,713.2710435345111
2,Truthful Learnt 3,17,736.6087590029724
2,Truthful Learnt 3,18,714.8411016449093
2,Truthful Learnt 3,19,723.1596331040392
0,Truthful Learnt 4,0,397.05556640038577
0,Truthful Learnt 4,1,554.728575497204
0,Truthful Learnt 4,2,1123.7770634641513
0,Truthful Learnt 4,3,1274.88527780966
0,Truthful Learnt 4,4,1373.3388082727176
0,Truthful Learnt 4,5,1399.757484305206
0,Truthful Learnt 4,6,1335.1342475726742
0,Truthful Learnt 4,7,1362.166409486192
0,Truthful Learnt 4,8,1332.6467099768727
0,Truthful Learnt 4,9,1430.0051309021178
0,Truthful Learnt 4,10,1355.746727544763
0,Truthful Learnt 4,11,1384.2227154947636
0,Truthful Learnt 4,12,1436.7148811826996
0,Truthful Learnt 4,13,1374.6293673599876
0,Truthful Learnt 4,14,1416.7621533605898
0,Truthful Learnt 4,15,1309.6786989675768
0,Truthful Learnt 4,16,1381.6744475735338
